Indirizzo,Telefono,Fax,CAP,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location
BASTIONI DI PORTA VOLTA 7,02-6572655,02-29002004,20121,1,2,BRERA,9.182151000000033,45.47960100000006,(45.47960100000006;9.182151000000033)
CORSO DI PORTA VIGENTINA 35,02-58320771,02-58319779,20122,1,5,PORTA VIGENTINA - PORTA LODOVICA,9.196519500000022,45.45253800000006,(45.45253800000006;9.196519500000022)
CORSO ITALI 16,02-804336,02-86454450,20122,1,1,DUOMO,9.187470000000076,45.45789300000007,(45.45789300000007;9.187470000000076)
CORSO SEMPIONE 94,,,20154,8,69,SARPI,9.15850800000004,45.48654000000005,(45.48654000000005;9.15850800000004)
CORSO VENEZIA 42,02-76023056,02-7837251,20121,1,4,GUASTALLA,9.202702500000044,45.47186100000005,(45.47186100000005;9.202702500000044)
LARGO GIOVANNI BATTISTA SCALABRINI 5,02-47714011,02-47714047,20146,6,49,GIAMBELLINO,9.14118300000007,45.45039600000007,(45.45039600000007;9.14118300000007)
PIAZZA NAPOLI 38,02-42255211,02-42255247,20146,6,49,GIAMBELLINO,9.152788500000042,45.45247500000005,(45.45247500000005;9.152788500000042)
PIAZZA SANTA MARIA NASCENTE 2,02-325774,02-3271232,20148,8,66,QT 8,9.137857500000052,45.48622500000005,(45.48622500000005;9.137857500000052)
PIAZZALE COSTANTINO NIGRA 1,02-37790911,02-37790947,20158,9,78,FARINI,9.171009000000026,45.49615200000005,(45.49615200000005;9.171009000000026)
VIA ADELCHI 2,02-2665192,02-26680123,20131,3,22,CITTA' STUDI,9.231767370000057,45.485437286000035,(45.485437286000035;9.231767370000057)
VIA ALFREDO CAPPELLINI 17/19,02-6773311,02-67733147,20124,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.201735000000042,45.48195000000004,(45.48195000000004;9.201735000000042)
VIA ANDREA VOCHIERI 12,02-66200116,02-66203094,20161,9,80,AFFORI,9.168682500000045,45.51414300000005,(45.51414300000005;9.168682500000045)
VIA APPENNINI 77/A,02-3535414,02-3538072,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.104292000000044,45.50207400000005,(45.50207400000005;9.104292000000044)
VIA ARQUA' 14,02-26141687,02-26825342,20131,2,20,LORETO - CASORETTO - NOLO,9.22771350000005,45.49287600000008,(45.49287600000008;9.22771350000005)
VIA BENOZZO GOZZOLI 51,02-48945239,02-48945202,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.090990000000033,45.45560700000004,(45.45560700000004;9.090990000000033)
VIA BOVISASCA 173,02-3573683,02-39000632,20161,9,81,BOVISASCA,9.152854782000077,45.519456269000045,(45.519456269000045;9.152854782000077)
VIA BRONZINO 7,02-29527423,02-2049719,20133,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.21933000000007,45.476136000000054,(45.476136000000054;9.21933000000007)
VIA CALDERA 126,02-48201069,02-4521551,20153,7,62,QUINTO ROMANO,9.092308500000058,45.47582100000005,(45.47582100000005;9.092308500000058)
VIA CARLO PAREA 26,02-58014379,02-58012716,20138,4,31,MONLUE' - PONTE LAMBRO,9.263835000000029,45.442863000000045,(45.442863000000045;9.263835000000029)
VIA CASCINA BAROCCO 8,02-48913792,02-48920600,20152,7,56,FORZE ARMATE,9.108846000000028,45.46136700000005,(45.46136700000005;9.108846000000028)
VIA CASSANO D'ADDA 24,02-5691187,02-57301894,20139,5,36,SCALO ROMANA,9.211392000000046,45.43768800000004,(45.43768800000004;9.211392000000046)
VIA COMUNE ANTICO 1,02-67070525,02-6706389,20125,2,13,GRECO - SEGNANO,9.209632500000055,45.50156100000004,(45.50156100000004;9.209632500000055)
VIA CORDUSIO 4,02-72482126,02-72482496,20123,1,1,DUOMO,9.18511650000005,45.464634000000046,(45.464634000000046;9.18511650000005)
VIA COSTANTINO BARONI 11/C,02-8263541,02-89302352,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.172165500000062,45.41133600000006,(45.41133600000006;9.172165500000062)
VIA DEI LARICI 11/B,02-4564664,02-48910655,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.083358000000032,45.45339300000006,(45.45339300000006;9.083358000000032)
VIA DELL'ORSO 11,02-80277311,02-80277347,20121,1,2,BRERA,9.185940000000073,45.46895400000005,(45.46895400000005;9.185940000000073)
VIA DELLA MOSCOVA 30,,,20121,1,2,BRERA,9.189607500000022,45.476856000000055,(45.476856000000055;9.189607500000022)
VIA DURAZZO 5,02-21040511,02-21040547,20134,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.241119000000026,45.48788100000007,(45.48788100000007;9.241119000000026)
VIA EMILIO MOTTA 5,02-4986368,02-48010551,20144,7,51,PORTA MAGENTA,9.16399350000006,45.465318000000025,(45.465318000000025;9.16399350000006)
VIA ENRICO ACERBI 34,02-66202077,02-6469245,20161,9,83,BRUZZANO,9.174937500000055,45.52867800000007,(45.52867800000007;9.174937500000055)
VIA FESTA DEL PERDONO 10,02-58207833,02-58207847,20122,1,1,DUOMO,9.194251500000064,45.46105200000005,(45.46105200000005;9.194251500000064)
VIA FILIPPO SASSETTI 27,,,20124,9,11,ISOLA,9.193140000000028,45.48825900000003,(45.48825900000003;9.193140000000028)
VIA FRANCESCO CILEA 119,02-38100117,02-33911701,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.09406800000005,45.50268600000004,(45.50268600000004;9.09406800000005)
VIA FRANCO TOSI 11,02-81808111,02-81808147,20143,6,45,MONCUCCO - SAN CRISTOFORO,9.156717000000071,45.444267000000025,(45.444267000000025;9.156717000000071)
VIA FREIKOFEL 16,02-51616911,02-51616947,20138,4,33,ROGOREDO - SANTA GIULIA,9.245074500000044,45.43162200000006,(45.43162200000006;9.245074500000044)
VIA FRIULI 51,02-55187443,02-59901244,20135,4,26,XXII MARZO,9.213750000000061,45.45513900000003,(45.45513900000003;9.213750000000061)
VIA GAMBOLOITA 4,02-57430811,02-57430848,20139,4,35,LODI - CORVETTO,9.221611500000051,45.440127000000075,(45.440127000000075;9.221611500000051)
VIA GEROLAMO CARDANO 8,02-6701493,02-6703023,20124,9,9,PORTA GARIBALDI - PORTA NUOVA,9.197608500000058,45.48554100000007,(45.48554100000007;9.197608500000058)
VIA GIOSUE' CARDUCCI 7,02-85917111,02-85917147,20123,1,1,DUOMO,9.176296500000035,45.46655100000004,(45.46655100000004;9.176296500000035)
VIA GIOVANNI BATTISTA GRASSI 1,02-3555035,02-39001038,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.127300500000047,45.512154000000066,(45.512154000000066;9.127300500000047)
VIA GIUSEPPE PECCHIO 1,,,20131,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.215860500000076,45.48473100000007,(45.48473100000007;9.215860500000076)
VIA GIUSEPPE RIPAMONTI 167,02-53580011,02-53580047,20141,5,38,VIGENTINO - Q.RE FATIMA,9.201118500000064,45.43522200000007,(45.43522200000007;9.201118500000064)
VIA GIUSEPPE UNGARETTI 12,02-3552257,02-3553052,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.142164000000037,45.51535800000005,(45.51535800000005;9.142164000000037)
VIA GUIDO COPPIN 3,02-8138844,02-89125714,20142,6,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,9.134140500000058,45.440577000000076,(45.440577000000076;9.134140500000058)
VIA LUIGI FEDERICO MENABREA 14,02-69000791,02-6687034,20159,9,11,ISOLA,9.18694350000004,45.49505400000004,(45.49505400000004;9.18694350000004)
VIA LUIGI PORRO LAMBERTENGHI 23,02-6888961,02-6880003,20159,9,11,ISOLA,9.188131500000054,45.48912300000006,(45.48912300000006;9.188131500000054)
VIA LUIGI VARANINI 26/28,02-28181611,02-28181647,20127,2,20,LORETO - CASORETTO - NOLO,9.214780500000074,45.493164000000036,(45.493164000000036;9.214780500000074)
VIA LUISA BATTISTOTTI SASSI 14,02-70003704,02-717650,20133,4,25,CORSICA,9.227965500000039,45.46396800000008,(45.46396800000008;9.227965500000039)
VIA MARCONA 1,02-55010729,02-55191755,20129,4,26,XXII MARZO,9.208161000000075,45.46354500000007,(45.46354500000007;9.208161000000075)
VIA MAZZINI GIUSEPPE 15,02-86396911,02-72000087,20123,1,1,DUOMO,9.188937000000067,45.461898000000076,(45.461898000000076;9.188937000000067)
VIA MEDEGHINO 16,02-89511452,02-89515585,20141,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.18161550000002,45.432270000000074,(45.432270000000074;9.18161550000002)
VIA MONDOVI' 2,02-26300993,02-2592735,20132,2,19,PADOVA - TURRO - CRESCENZAGO,9.241767000000038,45.50354100000004,(45.50354100000004;9.241767000000038)
VIA MONTE SAN GENESIO 31,02-603556,02-6686538,20158,9,79,DERGANO,9.178668000000073,45.50015700000006,(45.50015700000006;9.178668000000073)
VIA MONTEVIDEO 25,02-43458431,02-43458447,20144,6,50,PORTA GENOVA,9.164488500000061,45.45850500000006,(45.45850500000006;9.164488500000061)
VIA NOVARA 31,02-40309411,02-40309447,20147,7,56,FORZE ARMATE,9.125086500000066,45.469179000000054,(45.469179000000054;9.125086500000066)
VIA ORTICA 19,02-70061332,02-70061347,20134,3,23,LAMBRATE - ORTICA,9.244390500000065,45.471078000000034,(45.471078000000034;9.244390500000065)
VIA PAOLO LOMAZZO 25,02-33610135,02-312892,20154,8,69,SARPI,9.171625500000061,45.482499000000075,(45.482499000000075;9.171625500000061)
VIA PAOLO SEGNER SNC,02-419148,02-4155127,20147,6,49,GIAMBELLINO,9.131310118000044,45.44753969900006,(45.44753969900006;9.131310118000044)
VIA PELLEGRINO ROSSI 15/1,02-6468700,02-6481024,20161,9,80,AFFORI,9.176818500000024,45.508230000000026,(45.508230000000026;9.176818500000024)
VIA PINDARO 29,,,20128,2,16,GORLA - PRECOTTO,9.229959000000065,45.51700500000004,(45.51700500000004;9.229959000000065)
VIA PONALE 6,02-66100185,02-66103576,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.208557000000042,45.52285500000005,(45.52285500000005;9.208557000000042)
VIA RAFFAELLO SANZIO 32,02-4983983,02-48011859,20149,7,58,DE ANGELI - MONTE ROSA,9.150529500000061,45.46738800000003,(45.46738800000003;9.150529500000061)
VIA RIMINI 2,02-8466513,02-89504852,20142,5,43,TIBALDI,9.174055500000065,45.44079300000004,(45.44079300000004;9.174055500000065)
VIA RODOLFO CARABELLI 7,02-5453094,02-55182187,20137,4,28,UMBRIA - MOLISE - CALVAIRATE,9.221845500000029,45.450477000000035,(45.450477000000035;9.221845500000029)
VIA ROSOLINO PILO 19/A,02-2046789,02-29403189,20129,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.213025500000072,45.47301300000004,(45.47301300000004;9.213025500000072)
VIA RUGGERO BONGHI 3/7,02-84405537,02-84405502,20141,5,43,TIBALDI,9.179802000000052,45.44081100000005,(45.44081100000005;9.179802000000052)
VIA SAMBUCO 15,02-89405932,02-8375231,20122,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.181683000000021,45.45309600000007,(45.45309600000007;9.181683000000021)
VIA SAN MAMETE 16,02-2566786,02-2591830,20128,2,17,ADRIANO,9.248890500000073,45.510912000000076,(45.510912000000076;9.248890500000073)
VIA SAN SIMPLICIANO 5,02-86396811,02-86396847,20121,1,2,BRERA,9.18441000000007,45.47318400000006,(45.47318400000006;9.18441000000007)
VIA SANTA SOFIA 8,02-58318572,02-58308396,20122,1,1,DUOMO,9.19245600000005,45.45753300000007,(45.45753300000007;9.19245600000005)
VIA SAVERIO ALTAMURA 1,02-48706102,02-40071177,20148,7,57,SAN SIRO,9.140827500000057,45.46820700000006,(45.46820700000006;9.140827500000057)
VIA SCIPIONE PIATTOLI 6,02-26112432,02-2896553,20127,2,19,PADOVA - TURRO - CRESCENZAGO,9.231943500000057,45.49823100000003,(45.49823100000003;9.231943500000057)
VIA VIGNA 6,02-86396711,02-72080370,20123,1,1,DUOMO,9.179577000000052,45.46410300000008,(45.46410300000008;9.179577000000052)
VIALE ANDREA DORIA 48,02-2047169,02-29527342,20124,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.214470000000063,45.48577500000005,(45.48577500000005;9.214470000000063)
VIALE CASSIODORO 4,02-43359111,02-43359147,20145,8,68,PAGANO,9.160069500000077,45.47363400000006,(45.47363400000006;9.160069500000077)
VIALE EVARISTO STEFINI 12,02-67361911,02-67361947,20125,2,12,MACIACHINI - MAGGIOLINA,9.202455000000043,45.496440000000064,(45.496440000000064;9.202455000000043)
VIALE GIOVANNI SUZZANI,02-6470400,02-6425336,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.207933420000074,45.52444928500006,(45.52444928500006;9.207933420000074)
VIALE GORIZIA 6,02-8358241,02-8373830,20144,6,44,PORTA TICINESE - CONCHETTA,9.173155500000064,45.454518000000064,(45.454518000000064;9.173155500000064)
VIALE MONTE CENERI SNC,02-32671911,02-32671947,20155,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.153591732000052,45.49156751800007,(45.49156751800007;9.153591732000052)
VIALE SABOTINO 21/A,02-58457911,02-58457947,20135,5,27,PTA ROMANA,9.200173500000062,45.451017000000036,(45.451017000000036;9.200173500000062)
VIALE SAN GIMIGNANO 10,02-41411311,02-41411347,20146,6,52,BANDE NERE,9.136525500000062,45.455868000000066,(45.455868000000066;9.136525500000062)
VIALE ZARA 131,02-69911111,02-69911147,20159,9,12,MACIACHINI - MAGGIOLINA,9.196686000000057,45.50019300000008,(45.50019300000008;9.196686000000057)